"title","release_year","rating"
"300",2006,7.6
"300: Rise of an Empire",2014,6.2
"Wizards",2020,8.5
"Wizards",2020,8.8
"Wizards",2020,9
"Wizards",2020,8.9
"Wizards",2020,8.6
"Wizards",2020,8.8
"Wizards",2020,8.2
"Wizards",2020,8.3
"Wizards",2020,8.7
"Wizards",2020,8.2
"Wizards",2020,8.3
"Masters of the Universe: Revelation",2021,NULL
"Gunpowder Milkshake",2021,6
"Masters of the Universe: Revelation",2021,6.6
"Masters of the Universe: Revelation",2021,5.5
"Masters of the Universe: Revelation",2021,5.7
"Masters of the Universe: Revelation",2021,6
"Masters of the Universe: Revelation",2021,5.9
"Masters of the Universe: Revelation",2021,5
